dealer_name,dealer_code,branch,zone
Gannon Dunkerley And Co Ltd,C101104007409980,PATNA,Enterprise
Soham Enterprises,C101104007410294,PATNA,East-1
Ppsl Capacite Jv,C101104007410370,PATNA,Enterprise
Aditya Kumar,C101104007410392,PATNA,East-1
Rama And Sons,C101104007410440,PATNA,East-1
Mittal Construction Unit,C101104007410664,PATNA,Enterprise
Sagar Business Private Limited,C101104007410682,PATNA,East-1
S.T.S Tiles & Marble,C101104007410731,PATNA,East-1
Ncc Limited,C101104007410815,PATNA,Enterprise
Dev Enterprises,C101104007410843,PATNA,East-1
S.T.Constructions Pvt Ltd,C101104007410857,PATNA,Enterprise
Adhunik Buildtech Pvt. Ltd.,C101104007412052,PATNA,Enterprise
Capacit'E Infraprojects Limited,C101104007412056,PATNA,Enterprise
Kumar Buildcon Pvt Ltd,C101104007412324,PATNA,East-1
Nalanda C.P. Ceramics Pvt Ltd,C101104007412516,PATNA,Enterprise
Gulshan Enterprises,C101104007412635,PATNA,East-1
Siemens Construction Corporation,C101104007412847,PATNA,East-1
Poonam Kumari,C101104007412882,PATNA,Enterprise
Ncc Limited,C101104007412883,PATNA,Enterprise
Indraprasthahousing And Enterprises Private Ltd,C101104007412886,PATNA,East-1
Citi Marbles,C101104007412917,PATNA,East-1
S. K. Marble,C101104007413074,PATNA,East-1
Kanchan Kumari,C101104007414192,PATNA,East-1
Mamta C.P.& Granaite,C101104007414441,PATNA,East-1
S K C C Enterprises,C101104007414551,PATNA,East-1
Aadhar Stumbh Township Private Limited,C101104007414776,PATNA,Enterprise
Artisan Realtors Private Limited,C101104007415086,PATNA,East-1
Amit Kishore,C101104007415117,PATNA,East-1
Yojan Enterprises,C101104007415140,PATNA,East-1
Ab Enterprises,C101104007415313,PATNA,Enterprise
Pankaj Marble,C101104007415455,PATNA,East-1
Ahluwalia Contract India Limited,C101104007415469,PATNA,Enterprise
Shoppers Stop Limited,C101104007415589,PATNA,Enterprise
Garg Builders,C101104007415835,PATNA,Enterprise
Misc Party-Bihar,C101104007415943,MISC,Misc
Jagdamba Marble,C101104007416410,PATNA,East-1
Ganpati Tiles & Sanitary,C101104007416418,PATNA,Enterprise
Neuri Traders,C101104007416428,PATNA,East-1
Tiles World,C101104007416478,PATNA,East-1
V V Traders,C101104007416575,PATNA,East-1
Surya Tiles,C101104007416588,PATNA,East-1
Balaji Enterprises,C101104007416604,PATNA,East-1
M.D. Tariq Anwar,C101104007416623,PATNA,Enterprise
Ujjwal Marble Granite Sanitary House,C101104007416684,PATNA,East-1
Bharat Marble,C101104007416779,PATNA,East-1
Mohan Lal Arya And Co.,C101104007500086,PATNA,East-1
Shree Balaji Enterprises,C101104007500087,PATNA,East-1
Seemanchal Motors Pvt. Ltd,C101104007512423,PATNA,Enterprise
Prakash Janki Motors Private Limited,C101104007514230,PATNA,Enterprise
Manvi Enterprises,C101104007515170,ROBR,East-1
Sri Balaji Agency,C101104007515814,ROBR,East-1
Manikant Singh,C101104007515939,PATNA,East-1
Maa Manju Enterprises,C101104007516046,ROBR,East-1
Gupta Traders,C101104007516151,ROBR,East-1
Shree Maruti Nandan Agency,C101104007516847,ROBR,East-1
Sharma Paints Store,C101104007600095,ROBR,East-1
Shiv Parwati Tiles And Sanitory Enterprises,C101104007609151,ROBR,East-1
